Original,Typed in,Location
a ,a,0
aⁿ ,aq,0
ah ,ah,0
ahⁿ ,ahq,0
ai ,ai,0
aiⁿ ,aiq,0
ak ,ak,0
am ,am,0
an ,an,0
ang ,ang,0
ap ,ap,0
at ,at,0
au ,au,0
auh ,auh,0
e ,e,0
eⁿ ,eq,0
eh ,eh,0
ehⁿ ,ehq,0
ek ,ek,0
eng ,eng,0
i ,i,0
iⁿ ,iq,0
ia ,ia,1
iaⁿ ,iaq,1
iah ,iah,1
iahⁿ ,iahq,1
iak ,iak,1
iam ,iam,1
ian ,ian,1
iang ,iang,1
iap ,iap,1
iat ,iat,1
iau ,iau,1
iauⁿ ,iauq,1
iauh ,iauh,1
ih ,ih,0
im ,im,0
in ,in,0
io ,io,1
ioh ,ioh,1
iok ,iok,1
iong ,iong,1
ip ,ip,0
it ,it,0
iu ,iu,1
iuⁿ ,iuq,1
iuhⁿ ,iuhq,1
m ,z,0
mh ,zh,0
ng ,xg,0
ngh ,xgh,0
o ,o,0
oⁿ ,oq,0
o͘ ,w,0
oa ,oa,0
oaⁿ ,oaq,1
oah ,oah,1
oai ,oai,1
oaiⁿ ,oaiq,1
oan ,oan,1
oang ,oang,1
oat ,oat,1
oe ,oe,0
oeh ,oeh,1
oh ,oh,0
o͘h ,wh,0
ohⁿ ,ohq,0
ok ,ok,0
om ,om,0
ong ,ong,0
u ,u,0
uh ,uh,0
ui ,ui,0
un ,un,0
ut ,ut,0
n,x,0
